levels,month_abb,emmean,SE,df,asymp.LCL,asymp.UCL,.group
0.5,February,-0.2996521392750908,0.07084355925731688,Inf,-0.5026373727711758,-0.0966669057790058, a    
0.5,March,-0.2668222190362375,0.07203201506415145,Inf,-0.4732126877008982,-0.06043175037157675, ab   
0.5,April,-0.2120047888229144,0.06965888601133974,Inf,-0.4115956251716483,-0.012413952474180479, abc  
0.5,August,-0.20592345379230584,0.07898629060768964,Inf,-0.432239731659663,0.020392824075051302, abc  
0.5,January,-0.1652210344585948,0.06887492668766063,Inf,-0.3625656233285644,0.03212355441137482, abc  
0.5,September,-0.14659223765220575,0.06827704816017766,Inf,-0.34222374894990626,0.04903927364549476, abc  
0.5,November,-0.14338129147057868,0.06997288110210015,Inf,-0.3438718054679627,0.05710922252680534, abcd 
0.5,July,-0.058674600800659005,0.0717877713648347,Inf,-0.26436524770515546,0.14701604610383748, abcde
0.5,December,-0.041521939850645354,0.07131303547725366,Inf,-0.24585234489265162,0.16280846519136088,  bcde
0.5,October,0.015922303229914864,0.0656302756691711,Inf,-0.17212551608886392,0.20397012254869365,   cde
0.5,May,0.08424927733192153,0.06582888414759099,Inf,-0.10436760696310912,0.2728661616269522,    de
0.5,June,0.12836711049318336,0.06745150990579381,Inf,-0.06489901886884389,0.32163323985521064,     e
0.8,February,0.6316404465237448,0.07452795875705902,Inf,0.418098449638181,0.8451824434093087, a     
0.8,March,0.672430171366306,0.0756823391880326,Inf,0.4555805741317339,0.8892797686008781, ab    
0.8,April,0.7616249838215933,0.07324454483267615,Inf,0.5517603018231422,0.9714896658200444, abc   
0.8,January,0.7752399035661699,0.0724588651622936,Inf,0.567626398287489,0.9828534088448508, abc   
0.8,August,0.7972205433590497,0.08275118009065303,Inf,0.5601168773536898,1.0343242093644096, abcd  
0.8,November,0.8444187795702388,0.07386118445418828,Inf,0.6327872645827655,1.0560502945577122, abcde 
0.8,September,0.8641807568223094,0.07207891524473141,Inf,0.6576559069350529,1.070705606709566, abcde 
0.8,July,0.9192358307248326,0.07537500203870691,Inf,0.7032668344040474,1.1352048270456179,  bcdef
0.8,December,0.9370798325149227,0.07526689667342004,Inf,0.7214205861988658,1.1527390788309795,   cdef
0.8,October,1.0201258522802634,0.06933236548769646,Inf,0.8214705822049893,1.2187811223555376,    def
0.8,May,1.0786203199375333,0.06940966026995489,Inf,0.8797435801960081,1.2774970596790585,     ef
0.8,June,1.1189537173526127,0.07092120961291562,Inf,0.9157459953801228,1.3221614393251027,      f
0.95,February,1.3374563104785702,0.07361909935329744,Inf,1.1265184323050204,1.54839418865212, a   
0.95,March,1.3901901854468393,0.07474641100028588,Inf,1.1760222660347392,1.6043581048589393, ab  
0.95,January,1.4745430601711533,0.07159583265713487,Inf,1.2694023676140644,1.6796837527282422, ab  
0.95,April,1.4952335712759826,0.07236477035020127,Inf,1.2878896721210418,1.7025774704309233, ab  
0.95,August,1.5057796662469771,0.08153857415604011,Inf,1.2721504318110717,1.7394089006828826, abc 
0.95,September,1.5736905829061278,0.07118119558457157,Inf,1.3697379334664759,1.7776432323457798, abcd
0.95,November,1.5867871167874288,0.0729553181737068,Inf,1.377751144434846,1.7958230891400115,  bcd
0.95,July,1.6188236011926347,0.07432511096335778,Inf,1.405862816024837,1.8317843863604324,  bcd
0.95,December,1.6244662995510628,0.0743353126284171,Inf,1.4114762839580037,1.8374563151441219,  bcd
0.95,October,1.7399031898707906,0.06850915322888795,Inf,1.5436066371485526,1.9361997425930286,   cd
0.95,May,1.795229390354071,0.06859090893815531,Inf,1.5986985862487963,1.9917601944593457,    d
0.95,June,1.8032924088538804,0.06997432676421134,Inf,1.6027977526583308,2.00378706504943,    d
